ROW,ID,DESC,UPC,MIN,WUP
51,427712699-5,"LOREM IPSUM DOLOR SIT AMET, CONSECTETUER ADIPISCING ELIT. PROIN RISUS. PRAESENT LECTUS.",301-62-3695,7,$81.80
52,882792747-6,"AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH.",755-15-3370,7,$57.11
53,571732914-8,"VESTIBULUM AC EST LACINIA NISI VENENATIS TRISTIQUE. FUSCE CONGUE, DIAM ID ORNARE IMPERDIET, SAPIEN URNA PRETIUM NISL, UT VOLUTPAT SAPIEN ARCU SED AUGUE. ALIQUAM ERAT VOLUTPAT.",788-08-2624,4,$31.46
54,580469375-1,"MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO.",692-44-8836,6,$74.02
55,946169761-9,SUSPENDISSE POTENTI. IN ELEIFEND QUAM A ODIO. IN HAC HABITASSE PLATEA DICTUMST.,436-62-7618,4,$39.51
56,143583023-7,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,924-82-8050,10,$80.40
57,559765428-4,INTEGER AC LEO. PELLENTESQUE ULTRICES MATTIS ODIO. DONEC VITAE NISI.,833-10-3061,4,$12.41
58,403913504-0,"AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH.",151-20-1021,10,$29.19
59,304063573-5,"PROIN INTERDUM MAURIS NON LIGULA PELLENTESQUE ULTRICES. PHASELLUS ID SAPIEN IN SAPIEN IACULIS CONGUE. VIVAMUS METUS ARCU, ADIPISCING MOLESTIE, HENDRERIT AT, VULPUTATE VITAE, NISL.",332-67-9215,4,$36.80
60,765526055-9,INTEGER AC LEO. PELLENTESQUE ULTRICES MATTIS ODIO. DONEC VITAE NISI.,430-18-1273,9,$29.28
61,766126050-6,"QUISQUE PORTA VOLUTPAT ERAT. QUISQUE ERAT EROS, VIVERRA EGET, CONGUE EGET, SEMPER RUTRUM, NULLA. NUNC PURUS.",276-55-3514,4,$65.41
62,616537539-1,"QUISQUE PORTA VOLUTPAT ERAT. QUISQUE ERAT EROS, VIVERRA EGET, CONGUE EGET, SEMPER RUTRUM, NULLA. NUNC PURUS.",618-33-2737,4,$38.47
63,203435847-3,"AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH.",599-04-6213,7,$68.28
64,678948203-2,NULLA UT ERAT ID MAURIS VULPUTATE ELEMENTUM. NULLAM VARIUS. NULLA FACILISI.,547-60-7910,2,$82.37
65,604383729-3,"PROIN EU MI. NULLA AC ENIM. IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM.",773-44-8605,10,$79.42
66,618054788-2,"MAECENAS LEO ODIO, CONDIMENTUM ID, LUCTUS NEC, MOLESTIE SED, JUSTO. PELLENTESQUE VIVERRA PEDE AC DIAM. CRAS PELLENTESQUE VOLUTPAT DUI.",642-56-8754,5,$77.98
67,602191378-7,"NAM ULTRICES, LIBERO NON MATTIS PULVINAR, NULLA PEDE ULLAMCORPER AUGUE, A SUSCIPIT NULLA ELIT AC NULLA. SED VEL ENIM SIT AMET NUNC VIVERRA DAPIBUS. NULLA SUSCIPIT LIGULA IN LACUS.",826-57-9134,10,$50.63
68,874364850-9,"QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST. DONEC ODIO JUSTO, SOLLICITUDIN UT, SUSCIPIT A, FEUGIAT ET, EROS.",542-88-0676,4,$29.01
69,946437516-7,DUIS BIBENDUM. MORBI NON QUAM NEC DUI LUCTUS RUTRUM. NULLA TELLUS.,561-06-6369,6,$56.79
70,308436231-9,"PRAESENT BLANDIT. NAM NULLA. INTEGER PEDE JUSTO, LACINIA EGET, TINCIDUNT EGET, TEMPUS VEL, PEDE.",646-96-9279,3,$5.16
71,592825720-1,IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS. MORBI QUIS TORTOR ID NULLA ULTRICES ALIQUET.,135-95-2549,9,$32.07
72,228544493-1,"FUSCE POSUERE FELIS SED LACUS. MORBI SEM MAURIS, LAOREET UT, RHONCUS ALIQUET, PULVINAR SED, NISL. NUNC RHONCUS DUI VEL SEM.",487-52-6276,3,$90.15
73,802069921-X,"CURABITUR IN LIBERO UT MASSA VOLUTPAT CONVALLIS. MORBI ODIO ODIO, ELEMENTUM EU, INTERDUM EU, TINCIDUNT IN, LEO. MAECENAS PULVINAR LOBORTIS EST.",413-65-6867,2,$83.32
74,678120049-6,"MORBI PORTTITOR LOREM ID LIGULA. SUSPENDISSE ORNARE CONSEQUAT LECTUS. IN EST RISUS, AUCTOR SED, TRISTIQUE IN, TEMPUS SIT AMET, SEM.",695-55-8409,2,$83.83
75,288705586-0,NULLA UT ERAT ID MAURIS VULPUTATE ELEMENTUM. NULLAM VARIUS. NULLA FACILISI.,615-12-8589,7,$16.81
76,474711331-2,"QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST. DONEC ODIO JUSTO, SOLLICITUDIN UT, SUSCIPIT A, FEUGIAT ET, EROS.",463-76-4291,3,$59.70
77,527432929-2,"PROIN EU MI. NULLA AC ENIM. IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM.",657-20-0947,9,$12.93
78,999025987-9,"MAECENAS LEO ODIO, CONDIMENTUM ID, LUCTUS NEC, MOLESTIE SED, JUSTO. PELLENTESQUE VIVERRA PEDE AC DIAM. CRAS PELLENTESQUE VOLUTPAT DUI.",273-94-2706,4,$59.72
79,023194219-2,IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS. MORBI QUIS TORTOR ID NULLA ULTRICES ALIQUET.,559-22-8577,5,$18.76
80,980759846-X,"IN HAC HABITASSE PLATEA DICTUMST. MORBI VESTIBULUM, VELIT ID PRETIUM IACULIS, DIAM ERAT FERMENTUM JUSTO, NEC CONDIMENTUM NEQUE SAPIEN PLACERAT ANTE. NULLA JUSTO.",492-48-2521,9,$72.53
81,640995642-8,"PROIN EU MI. NULLA AC ENIM. IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM.",932-66-8940,1,$34.97
82,775076068-7,"PRAESENT BLANDIT. NAM NULLA. INTEGER PEDE JUSTO, LACINIA EGET, TINCIDUNT EGET, TEMPUS VEL, PEDE.",473-81-1625,7,$10.14
83,001177914-4,"PROIN EU MI. NULLA AC ENIM. IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM.",651-97-9292,5,$86.28
84,540224585-1,IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS. MORBI QUIS TORTOR ID NULLA ULTRICES ALIQUET.,105-06-6133,4,$74.29
85,403025701-1,"FUSCE POSUERE FELIS SED LACUS. MORBI SEM MAURIS, LAOREET UT, RHONCUS ALIQUET, PULVINAR SED, NISL. NUNC RHONCUS DUI VEL SEM.",145-08-3175,4,$18.33
86,601970680-X,"QUISQUE PORTA VOLUTPAT ERAT. QUISQUE ERAT EROS, VIVERRA EGET, CONGUE EGET, SEMPER RUTRUM, NULLA. NUNC PURUS.",532-87-8458,7,$90.73
87,131927134-0,"PROIN INTERDUM MAURIS NON LIGULA PELLENTESQUE ULTRICES. PHASELLUS ID SAPIEN IN SAPIEN IACULIS CONGUE. VIVAMUS METUS ARCU, ADIPISCING MOLESTIE, HENDRERIT AT, VULPUTATE VITAE, NISL.",745-42-7490,5,$76.94
88,959513247-0,NULLAM SIT AMET TURPIS ELEMENTUM LIGULA VEHICULA CONSEQUAT. MORBI A IPSUM. INTEGER A NIBH.,934-85-7703,5,$81.93
89,689562374-4,PRAESENT ID MASSA ID NISL VENENATIS LACINIA. AENEAN SIT AMET JUSTO. MORBI UT ODIO.,841-69-5023,2,$70.72
90,505450011-1,"MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO.",727-71-8678,6,$33.25
91,955144286-5,AENEAN LECTUS. PELLENTESQUE EGET NUNC. DONEC QUIS ORCI EGET ORCI VEHICULA CONDIMENTUM.,990-59-4753,10,$80.69
92,197148528-4,INTEGER AC LEO. PELLENTESQUE ULTRICES MATTIS ODIO. DONEC VITAE NISI.,443-20-2526,6,$2.50
93,567277698-1,IN HAC HABITASSE PLATEA DICTUMST. ETIAM FAUCIBUS CURSUS URNA. UT TELLUS.,140-89-5010,5,$82.10
94,564543725-X,PHASELLUS IN FELIS. DONEC SEMPER SAPIEN A LIBERO. NAM DUI.,492-02-1933,9,$6.21
95,060939763-X,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,228-26-5016,4,$0.44
96,948159605-2,"MORBI NON LECTUS. ALIQUAM SIT AMET DIAM IN MAGNA BIBENDUM IMPERDIET. NULLAM ORCI PEDE, VENENATIS NON, SODALES SED, TINCIDUNT EU, FELIS.",581-49-9294,1,$61.35
97,526430963-9,"PROIN LEO ODIO, PORTTITOR ID, CONSEQUAT IN, CONSEQUAT UT, NULLA. SED ACCUMSAN FELIS. UT AT DOLOR QUIS ODIO CONSEQUAT VARIUS.",929-58-0667,2,$93.15
98,851807817-2,"PROIN INTERDUM MAURIS NON LIGULA PELLENTESQUE ULTRICES. PHASELLUS ID SAPIEN IN SAPIEN IACULIS CONGUE. VIVAMUS METUS ARCU, ADIPISCING MOLESTIE, HENDRERIT AT, VULPUTATE VITAE, NISL.",930-49-5880,3,$73.20
99,494503452-4,PHASELLUS IN FELIS. DONEC SEMPER SAPIEN A LIBERO. NAM DUI.,856-90-4052,3,$4.08
100,092209933-2,"PROIN LEO ODIO, PORTTITOR ID, CONSEQUAT IN, CONSEQUAT UT, NULLA. SED ACCUMSAN FELIS. UT AT DOLOR QUIS ODIO CONSEQUAT VARIUS.",484-79-9241,10,$2.77
101,616568965-5,DUIS ALIQUAM CONVALLIS NUNC. PROIN AT TURPIS A PEDE POSUERE NONUMMY. INTEGER NON VELIT.,627-97-0048,5,$20.77
102,486610703-0,ALIQUAM QUIS TURPIS EGET ELIT SODALES SCELERISQUE. MAURIS SIT AMET EROS. SUSPENDISSE ACCUMSAN TORTOR QUIS TURPIS.,476-96-7447,5,$59.71
103,590989870-1,INTEGER AC LEO. PELLENTESQUE ULTRICES MATTIS ODIO. DONEC VITAE NISI.,515-38-9920,4,$29.12
104,626584536-5,PHASELLUS IN FELIS. DONEC SEMPER SAPIEN A LIBERO. NAM DUI.,334-79-0473,3,$29.35
105,882834094-0,PHASELLUS SIT AMET ERAT. NULLA TEMPUS. VIVAMUS IN FELIS EU SAPIEN CURSUS VESTIBULUM.,777-06-3210,10,$0.56
106,974910963-5,"PRAESENT BLANDIT. NAM NULLA. INTEGER PEDE JUSTO, LACINIA EGET, TINCIDUNT EGET, TEMPUS VEL, PEDE.",985-24-7653,10,$55.41
107,814846258-5,"PROIN LEO ODIO, PORTTITOR ID, CONSEQUAT IN, CONSEQUAT UT, NULLA. SED ACCUMSAN FELIS. UT AT DOLOR QUIS ODIO CONSEQUAT VARIUS.",995-60-9634,7,$78.36
108,372917172-0,IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS. MORBI QUIS TORTOR ID NULLA ULTRICES ALIQUET.,147-46-3951,6,$9.88
109,692198064-2,"AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH.",584-56-6362,1,$90.54
110,055119154-6,SUSPENDISSE POTENTI. IN ELEIFEND QUAM A ODIO. IN HAC HABITASSE PLATEA DICTUMST.,649-18-4087,4,$82.13
111,799874721-8,PHASELLUS SIT AMET ERAT. NULLA TEMPUS. VIVAMUS IN FELIS EU SAPIEN CURSUS VESTIBULUM.,786-12-6206,5,$3.94
112,129850923-8,MAECENAS UT MASSA QUIS AUGUE LUCTUS TINCIDUNT. NULLA MOLLIS MOLESTIE LOREM. QUISQUE UT ERAT.,916-78-6829,7,$61.05
113,091689324-3,PHASELLUS SIT AMET ERAT. NULLA TEMPUS. VIVAMUS IN FELIS EU SAPIEN CURSUS VESTIBULUM.,857-81-4765,9,$49.89
114,094983918-3,PELLENTESQUE AT NULLA. SUSPENDISSE POTENTI. CRAS IN PURUS EU MAGNA VULPUTATE LUCTUS.,797-45-8901,10,$75.34
115,881906751-X,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,689-94-5163,5,$73.14
116,715497227-0,"VESTIBULUM AC EST LACINIA NISI VENENATIS TRISTIQUE. FUSCE CONGUE, DIAM ID ORNARE IMPERDIET, SAPIEN URNA PRETIUM NISL, UT VOLUTPAT SAPIEN ARCU SED AUGUE. ALIQUAM ERAT VOLUTPAT.",650-12-3537,10,$35.87
117,149131196-7,"VESTIBULUM QUAM SAPIEN, VARIUS UT, BLANDIT NON, INTERDUM IN, ANTE. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; DUIS FAUCIBUS ACCUMSAN ODIO. CURABITUR CONVALLIS.",938-37-6901,8,$63.62
118,365023666-4,"FUSCE POSUERE FELIS SED LACUS. MORBI SEM MAURIS, LAOREET UT, RHONCUS ALIQUET, PULVINAR SED, NISL. NUNC RHONCUS DUI VEL SEM.",146-41-0426,8,$77.97
119,281987797-4,"QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST. DONEC ODIO JUSTO, SOLLICITUDIN UT, SUSCIPIT A, FEUGIAT ET, EROS.",627-99-4222,3,$12.36
120,991535263-8,"CURABITUR AT IPSUM AC TELLUS SEMPER INTERDUM. MAURIS ULLAMCORPER PURUS SIT AMET NULLA. QUISQUE ARCU LIBERO, RUTRUM AC, LOBORTIS VEL, DAPIBUS AT, DIAM.",283-28-3445,3,$99.51
121,580122512-9,PHASELLUS IN FELIS. DONEC SEMPER SAPIEN A LIBERO. NAM DUI.,830-19-5690,8,$10.17
122,868167875-2,DUIS ALIQUAM CONVALLIS NUNC. PROIN AT TURPIS A PEDE POSUERE NONUMMY. INTEGER NON VELIT.,306-08-9452,8,$31.80
123,767802531-9,MAECENAS UT MASSA QUIS AUGUE LUCTUS TINCIDUNT. NULLA MOLLIS MOLESTIE LOREM. QUISQUE UT ERAT.,728-36-6455,10,$66.88
124,163448205-0,NULLA UT ERAT ID MAURIS VULPUTATE ELEMENTUM. NULLAM VARIUS. NULLA FACILISI.,788-30-0060,1,$21.50
125,878487417-1,"SED SAGITTIS. NAM CONGUE, RISUS SEMPER PORTA VOLUTPAT, QUAM PEDE LOBORTIS LIGULA, SIT AMET ELEIFEND PEDE LIBERO QUIS ORCI. NULLAM MOLESTIE NIBH IN LECTUS.",963-13-5230,10,$92.71
